text,label
床前明月光，疑是地上霜。,neutral
天生我材必有用，千金散尽还复来。,positive
羌笛何须怨杨柳，春风不度玉门关。,negative
独坐幽篁里，弹琴复长啸。,neutral
感时花溅泪，恨别鸟惊心。,negative
日照香炉生紫烟，遥看瀑布挂前川。,positive
感时花溅泪，恨别鸟惊心。,negative
醉卧沙场君莫笑，古来征战几人回？,positive
朱门酒肉臭，路有冻死骨。,negative
春风又绿江南岸，明月何时照我还。,positive
羌笛何须怨杨柳，春风不度玉门关。,negative
举头望明月，低头思故乡。,neutral
竹喧归浣女，莲动下渔舟。,neutral
长风破浪会有时，直挂云帆济沧海。,positive
抽刀断水水更流，举杯消愁愁更愁。,negative
夜来风雨声，花落知多少。,negative
日照香炉生紫烟，遥看瀑布挂前川。,positive
竹喧归浣女，莲动下渔舟。,neutral
人生如梦，一尊还酹江月。,negative
白日依山尽，黄河入海流。,neutral
朱门酒肉臭，路有冻死骨。,negative
春江潮水连海平，海上明月共潮生。,neutral
人生得意须尽欢，莫使金樽空对月。,positive
江南好，风景旧曾谙。,positive
无边落木萧萧下，不尽长江滚滚来。,negative
日照香炉生紫烟，遥看瀑布挂前川。,positive
朝辞白帝彩云间，千里江陵一日还。,positive
床前明月光，疑是地上霜。,neutral
羌笛何须怨杨柳，春风不度玉门关。,negative
空山新雨后，天气晚来秋。,neutral
人生得意须尽欢，莫使金樽空对月。,positive
千里孤坟，无处话凄凉。,negative
醉卧沙场君莫笑，古来征战几人回？,positive
夜来风雨声，花落知多少。,negative
无边落木萧萧下，不尽长江滚滚来。,negative
千里孤坟，无处话凄凉。,negative
清江一曲抱村流，长夏江村事事幽。,positive
人生得意须尽欢，莫使金樽空对月。,positive
独坐幽篁里，弹琴复长啸。,neutral
人生得意须尽欢，莫使金樽空对月。,positive
天生我材必有用，千金散尽还复来。,positive
独坐幽篁里，弹琴复长啸。,neutral
人生得意须尽欢，莫使金樽空对月。,positive
白日依山尽，黄河入海流。,neutral
竹喧归浣女，莲动下渔舟。,neutral
大漠孤烟直，长河落日圆。,neutral
无边落木萧萧下，不尽长江滚滚来。,negative
羌笛何须怨杨柳，春风不度玉门关。,negative
夜来风雨声，花落知多少。,negative
朝辞白帝彩云间，千里江陵一日还。,positive
感时花溅泪，恨别鸟惊心。,negative
抽刀断水水更流，举杯消愁愁更愁。,negative
夜来风雨声，花落知多少。,negative
人生得意须尽欢，莫使金樽空对月。,positive
春风又绿江南岸，明月何时照我还。,positive
大漠孤烟直，长河落日圆。,neutral
人生如梦，一尊还酹江月。,negative
国破山河在，城春草木深。,negative
长风破浪会有时，直挂云帆济沧海。,positive
举头望明月，低头思故乡。,neutral
朱门酒肉臭，路有冻死骨。,negative
人生在世不称意，明朝散发弄扁舟。,negative
仰天大笑出门去，我辈岂是蓬蒿人。,positive
人生在世不称意，明朝散发弄扁舟。,negative
醉卧沙场君莫笑，古来征战几人回？,positive
江南好，风景旧曾谙。,positive
江流天地外，山色有无中。,neutral
人生在世不称意，明朝散发弄扁舟。,negative
仰天大笑出门去，我辈岂是蓬蒿人。,positive
竹喧归浣女，莲动下渔舟。,neutral
朝辞白帝彩云间，千里江陵一日还。,positive
国破山河在，城春草木深。,negative
两岸猿声啼不住，轻舟已过万重山。,neutral
日照香炉生紫烟，遥看瀑布挂前川。,positive
清江一曲抱村流，长夏江村事事幽。,positive
感时花溅泪，恨别鸟惊心。,negative
竹喧归浣女，莲动下渔舟。,neutral
人生如梦，一尊还酹江月。,negative
夜来风雨声，花落知多少。,negative
江流天地外，山色有无中。,neutral
清江一曲抱村流，长夏江村事事幽。,positive
人生如梦，一尊还酹江月。,negative
朝辞白帝彩云间，千里江陵一日还。,positive
大漠孤烟直，长河落日圆。,neutral
国破山河在，城春草木深。,negative
春江潮水连海平，海上明月共潮生。,neutral
感时花溅泪，恨别鸟惊心。,negative
人生在世不称意，明朝散发弄扁舟。,negative
春风又绿江南岸，明月何时照我还。,positive
夜来风雨声，花落知多少。,negative
空山新雨后，天气晚来秋。,neutral
白日依山尽，黄河入海流。,neutral
千里孤坟，无处话凄凉。,negative
无边落木萧萧下，不尽长江滚滚来。,negative
两岸猿声啼不住，轻舟已过万重山。,neutral
春风又绿江南岸，明月何时照我还。,positive
人生得意须尽欢，莫使金樽空对月。,positive
朱门酒肉臭，路有冻死骨。,negative
仰天大笑出门去，我辈岂是蓬蒿人。,positive
无边落木萧萧下，不尽长江滚滚来。,negative
醉卧沙场君莫笑，古来征战几人回？,positive
长风破浪会有时，直挂云帆济沧海。,positive
感时花溅泪，恨别鸟惊心。,negative
人生在世不称意，明朝散发弄扁舟。,negative
白日依山尽，黄河入海流。,neutral
春风又绿江南岸，明月何时照我还。,positive
人生在世不称意，明朝散发弄扁舟。,negative
人生在世不称意，明朝散发弄扁舟。,negative
长风破浪会有时，直挂云帆济沧海。,positive
白日依山尽，黄河入海流。,neutral
竹喧归浣女，莲动下渔舟。,neutral
感时花溅泪，恨别鸟惊心。,negative
千里孤坟，无处话凄凉。,negative
