text,label
床前明月光，疑是地上霜。,中性
天生我材必有用，千金散尽还复来。,乐观
羌笛何须怨杨柳，春风不度玉门关。,悲观
独坐幽篁里，弹琴复长啸。,中性
感时花溅泪，恨别鸟惊心。,悲观
日照香炉生紫烟，遥看瀑布挂前川。,乐观
感时花溅泪，恨别鸟惊心。,悲观
醉卧沙场君莫笑，古来征战几人回？,乐观
朱门酒肉臭，路有冻死骨。,悲观
春风又绿江南岸，明月何时照我还。,乐观
羌笛何须怨杨柳，春风不度玉门关。,悲观
举头望明月，低头思故乡。,中性
竹喧归浣女，莲动下渔舟。,中性
长风破浪会有时，直挂云帆济沧海。,乐观
抽刀断水水更流，举杯消愁愁更愁。,悲观
夜来风雨声，花落知多少。,悲观
日照香炉生紫烟，遥看瀑布挂前川。,乐观
竹喧归浣女，莲动下渔舟。,中性
人生如梦，一尊还酹江月。,悲观
白日依山尽，黄河入海流。,中性
朱门酒肉臭，路有冻死骨。,悲观
春江潮水连海平，海上明月共潮生。,中性
人生得意须尽欢，莫使金樽空对月。,乐观
江南好，风景旧曾谙。,乐观
无边落木萧萧下，不尽长江滚滚来。,悲观
日照香炉生紫烟，遥看瀑布挂前川。,乐观
朝辞白帝彩云间，千里江陵一日还。,乐观
床前明月光，疑是地上霜。,中性
羌笛何须怨杨柳，春风不度玉门关。,悲观
空山新雨后，天气晚来秋。,中性
人生得意须尽欢，莫使金樽空对月。,乐观
千里孤坟，无处话凄凉。,悲观
醉卧沙场君莫笑，古来征战几人回？,乐观
夜来风雨声，花落知多少。,悲观
无边落木萧萧下，不尽长江滚滚来。,悲观
千里孤坟，无处话凄凉。,悲观
清江一曲抱村流，长夏江村事事幽。,乐观
人生得意须尽欢，莫使金樽空对月。,乐观
独坐幽篁里，弹琴复长啸。,中性
人生得意须尽欢，莫使金樽空对月。,乐观
天生我材必有用，千金散尽还复来。,乐观
独坐幽篁里，弹琴复长啸。,中性
人生得意须尽欢，莫使金樽空对月。,乐观
白日依山尽，黄河入海流。,中性
竹喧归浣女，莲动下渔舟。,中性
大漠孤烟直，长河落日圆。,中性
无边落木萧萧下，不尽长江滚滚来。,悲观
羌笛何须怨杨柳，春风不度玉门关。,悲观
夜来风雨声，花落知多少。,悲观
朝辞白帝彩云间，千里江陵一日还。,乐观
感时花溅泪，恨别鸟惊心。,悲观
抽刀断水水更流，举杯消愁愁更愁。,悲观
夜来风雨声，花落知多少。,悲观
人生得意须尽欢，莫使金樽空对月。,乐观
春风又绿江南岸，明月何时照我还。,乐观
大漠孤烟直，长河落日圆。,中性
人生如梦，一尊还酹江月。,悲观
国破山河在，城春草木深。,悲观
长风破浪会有时，直挂云帆济沧海。,乐观
举头望明月，低头思故乡。,中性
朱门酒肉臭，路有冻死骨。,悲观
人生在世不称意，明朝散发弄扁舟。,悲观
仰天大笑出门去，我辈岂是蓬蒿人。,乐观
人生在世不称意，明朝散发弄扁舟。,悲观
醉卧沙场君莫笑，古来征战几人回？,乐观
江南好，风景旧曾谙。,乐观
江流天地外，山色有无中。,中性
人生在世不称意，明朝散发弄扁舟。,悲观
仰天大笑出门去，我辈岂是蓬蒿人。,乐观
竹喧归浣女，莲动下渔舟。,中性
朝辞白帝彩云间，千里江陵一日还。,乐观
国破山河在，城春草木深。,悲观
两岸猿声啼不住，轻舟已过万重山。,中性
日照香炉生紫烟，遥看瀑布挂前川。,乐观
清江一曲抱村流，长夏江村事事幽。,乐观
感时花溅泪，恨别鸟惊心。,悲观
竹喧归浣女，莲动下渔舟。,中性
人生如梦，一尊还酹江月。,悲观
夜来风雨声，花落知多少。,悲观
江流天地外，山色有无中。,中性
清江一曲抱村流，长夏江村事事幽。,乐观
人生如梦，一尊还酹江月。,悲观
朝辞白帝彩云间，千里江陵一日还。,乐观
大漠孤烟直，长河落日圆。,中性
国破山河在，城春草木深。,悲观
春江潮水连海平，海上明月共潮生。,中性
感时花溅泪，恨别鸟惊心。,悲观
人生在世不称意，明朝散发弄扁舟。,悲观
春风又绿江南岸，明月何时照我还。,乐观
夜来风雨声，花落知多少。,悲观
空山新雨后，天气晚来秋。,中性
白日依山尽，黄河入海流。,中性
千里孤坟，无处话凄凉。,悲观
无边落木萧萧下，不尽长江滚滚来。,悲观
两岸猿声啼不住，轻舟已过万重山。,中性
春风又绿江南岸，明月何时照我还。,乐观
人生得意须尽欢，莫使金樽空对月。,乐观
朱门酒肉臭，路有冻死骨。,悲观
仰天大笑出门去，我辈岂是蓬蒿人。,乐观
无边落木萧萧下，不尽长江滚滚来。,悲观
醉卧沙场君莫笑，古来征战几人回？,乐观
长风破浪会有时，直挂云帆济沧海。,乐观
感时花溅泪，恨别鸟惊心。,悲观
人生在世不称意，明朝散发弄扁舟。,悲观
白日依山尽，黄河入海流。,中性
春风又绿江南岸，明月何时照我还。,乐观
人生在世不称意，明朝散发弄扁舟。,悲观
人生在世不称意，明朝散发弄扁舟。,悲观
长风破浪会有时，直挂云帆济沧海。,乐观
白日依山尽，黄河入海流。,中性
竹喧归浣女，莲动下渔舟。,中性
感时花溅泪，恨别鸟惊心。,悲观
千里孤坟，无处话凄凉。,悲观
空山新雨后，天气晚来秋。,中性
仰天大笑出门去，我辈岂是蓬蒿人。,乐观
长风破浪会有时，直挂云帆济沧海。,乐观
朱门酒肉臭，路有冻死骨。,悲观
人生在世不称意，明朝散发弄扁舟。,悲观
江南好，风景旧曾谙。,乐观
抽刀断水水更流，举杯消愁愁更愁。,悲观
夜来风雨声，花落知多少。,悲观
床前明月光，疑是地上霜。,中性
夜来风雨声，花落知多少。,悲观
人生在世不称意，明朝散发弄扁舟。,悲观
人生得意须尽欢，莫使金樽空对月。,乐观
白日依山尽，黄河入海流。,中性
人生得意须尽欢，莫使金樽空对月。,乐观
床前明月光，疑是地上霜。,中性
春风又绿江南岸，明月何时照我还。,乐观
竹喧归浣女，莲动下渔舟。,中性
国破山河在，城春草木深。,悲观
空山新雨后，天气晚来秋。,中性
江流天地外，山色有无中。,中性
无边落木萧萧下，不尽长江滚滚来。,悲观
夜来风雨声，花落知多少。,悲观
人生在世不称意，明朝散发弄扁舟。,悲观
独坐幽篁里，弹琴复长啸。,中性
人生在世不称意，明朝散发弄扁舟。,悲观
大漠孤烟直，长河落日圆。,中性
国破山河在，城春草木深。,悲观
人生在世不称意，明朝散发弄扁舟。,悲观
清江一曲抱村流，长夏江村事事幽。,乐观
朱门酒肉臭，路有冻死骨。,悲观
江南好，风景旧曾谙。,乐观
江南好，风景旧曾谙。,乐观
春风又绿江南岸，明月何时照我还。,乐观
千里孤坟，无处话凄凉。,悲观
大漠孤烟直，长河落日圆。,中性
朱门酒肉臭，路有冻死骨。,悲观
羌笛何须怨杨柳，春风不度玉门关。,悲观
无边落木萧萧下，不尽长江滚滚来。,悲观
抽刀断水水更流，举杯消愁愁更愁。,悲观
抽刀断水水更流，举杯消愁愁更愁。,悲观
天生我材必有用，千金散尽还复来。,乐观
羌笛何须怨杨柳，春风不度玉门关。,悲观
感时花溅泪，恨别鸟惊心。,悲观
朱门酒肉臭，路有冻死骨。,悲观
举头望明月，低头思故乡。,中性
江南好，风景旧曾谙。,乐观
空山新雨后，天气晚来秋。,中性
仰天大笑出门去，我辈岂是蓬蒿人。,乐观
国破山河在，城春草木深。,悲观
空山新雨后，天气晚来秋。,中性
天生我材必有用，千金散尽还复来。,乐观
床前明月光，疑是地上霜。,中性
空山新雨后，天气晚来秋。,中性
独坐幽篁里，弹琴复长啸。,中性
人生如梦，一尊还酹江月。,悲观
朝辞白帝彩云间，千里江陵一日还。,乐观
床前明月光，疑是地上霜。,中性
人生如梦，一尊还酹江月。,悲观
春风又绿江南岸，明月何时照我还。,乐观
天生我材必有用，千金散尽还复来。,乐观
白日依山尽，黄河入海流。,中性
两岸猿声啼不住，轻舟已过万重山。,中性
国破山河在，城春草木深。,悲观
大漠孤烟直，长河落日圆。,中性
春江潮水连海平，海上明月共潮生。,中性
仰天大笑出门去，我辈岂是蓬蒿人。,乐观
无边落木萧萧下，不尽长江滚滚来。,悲观
空山新雨后，天气晚来秋。,中性
举头望明月，低头思故乡。,中性
春江潮水连海平，海上明月共潮生。,中性
天生我材必有用，千金散尽还复来。,乐观
江南好，风景旧曾谙。,乐观
仰天大笑出门去，我辈岂是蓬蒿人。,乐观
竹喧归浣女，莲动下渔舟。,中性
天生我材必有用，千金散尽还复来。,乐观
夜来风雨声，花落知多少。,悲观
朱门酒肉臭，路有冻死骨。,悲观
无边落木萧萧下，不尽长江滚滚来。,悲观
江南好，风景旧曾谙。,乐观
朝辞白帝彩云间，千里江陵一日还。,乐观
感时花溅泪，恨别鸟惊心。,悲观
仰天大笑出门去，我辈岂是蓬蒿人。,乐观
国破山河在，城春草木深。,悲观
无边落木萧萧下，不尽长江滚滚来。,悲观
夜来风雨声，花落知多少。,悲观
感时花溅泪，恨别鸟惊心。,悲观
独坐幽篁里，弹琴复长啸。,中性
日照香炉生紫烟，遥看瀑布挂前川。,乐观
春江潮水连海平，海上明月共潮生。,中性
国破山河在，城春草木深。,悲观
举头望明月，低头思故乡。,中性
夜来风雨声，花落知多少。,悲观
羌笛何须怨杨柳，春风不度玉门关。,悲观
清江一曲抱村流，长夏江村事事幽。,乐观
空山新雨后，天气晚来秋。,中性
抽刀断水水更流，举杯消愁愁更愁。,悲观
抽刀断水水更流，举杯消愁愁更愁。,悲观
朝辞白帝彩云间，千里江陵一日还。,乐观
江流天地外，山色有无中。,中性
朱门酒肉臭，路有冻死骨。,悲观
仰天大笑出门去，我辈岂是蓬蒿人。,乐观
天生我材必有用，千金散尽还复来。,乐观
独坐幽篁里，弹琴复长啸。,中性
醉卧沙场君莫笑，古来征战几人回？,乐观
举头望明月，低头思故乡。,中性
空山新雨后，天气晚来秋。,中性
床前明月光，疑是地上霜。,中性
江流天地外，山色有无中。,中性
人生在世不称意，明朝散发弄扁舟。,悲观
国破山河在，城春草木深。,悲观
仰天大笑出门去，我辈岂是蓬蒿人。,乐观
人生如梦，一尊还酹江月。,悲观
春江潮水连海平，海上明月共潮生。,中性
白日依山尽，黄河入海流。,中性
朝辞白帝彩云间，千里江陵一日还。,乐观
千里孤坟，无处话凄凉。,悲观
人生在世不称意，明朝散发弄扁舟。,悲观
人生得意须尽欢，莫使金樽空对月。,乐观
无边落木萧萧下，不尽长江滚滚来。,悲观
独坐幽篁里，弹琴复长啸。,中性
醉卧沙场君莫笑，古来征战几人回？,乐观
床前明月光，疑是地上霜。,中性
白日依山尽，黄河入海流。,中性
人生在世不称意，明朝散发弄扁舟。,悲观
日照香炉生紫烟，遥看瀑布挂前川。,乐观
举头望明月，低头思故乡。,中性
江流天地外，山色有无中。,中性
春风又绿江南岸，明月何时照我还。,乐观
千里孤坟，无处话凄凉。,悲观
清江一曲抱村流，长夏江村事事幽。,乐观
清江一曲抱村流，长夏江村事事幽。,乐观
举头望明月，低头思故乡。,中性
白日依山尽，黄河入海流。,中性
国破山河在，城春草木深。,悲观
朝辞白帝彩云间，千里江陵一日还。,乐观
人生如梦，一尊还酹江月。,悲观
仰天大笑出门去，我辈岂是蓬蒿人。,乐观
仰天大笑出门去，我辈岂是蓬蒿人。,乐观
独坐幽篁里，弹琴复长啸。,中性
人生得意须尽欢，莫使金樽空对月。,乐观
仰天大笑出门去，我辈岂是蓬蒿人。,乐观
千里孤坟，无处话凄凉。,悲观
大漠孤烟直，长河落日圆。,中性
朱门酒肉臭，路有冻死骨。,悲观
长风破浪会有时，直挂云帆济沧海。,乐观
床前明月光，疑是地上霜。,中性
朱门酒肉臭，路有冻死骨。,悲观
